post_id,aesthetic,market,language,keyword,text,sentiment_hint,score,num_comments,created_utc
s000026,quiet_luxury,US,en,quiet luxury,Old money aesthetic feels performative on TikTok now. It's just Ralph Lauren cosplay for people with debt.,negative,336,30,1742090400.0
s000027,quiet_luxury,US,en,quiet luxury,"Stealth wealth basics: navy crewneck, gray flannels, unbranded loafers. Nothing screams, everything whispers.",positive,426,62,1729839600.0
s000028,quiet_luxury,US,en,quiet luxury,Honestly quiet luxury is a marketing term. Rich people always dressed like this.,neutral,426,108,1752573600.0
s000029,quiet_luxury,US,en,quiet luxury,Understated luxury > logo mania. My closet finally feels like mine.,positive,295,53,1748160000.0
s000030,quiet_luxury,US,en,quiet luxury,The stealth wealth thing is exhausting. It's just beige.,negative,138,65,1711191600.0
s000031,quiet_luxury,US,en,quiet luxury,Best quiet luxury piece I own: an unlined cashmere blazer. Wears like a sweatshirt.,positive,94,81,1757988000.0
s000032,quiet_luxury,US,en,quiet luxury,Old money aesthetic on Pinterest is 90% white girls at horse farms. Where is the range.,negative,171,53,1746064800.0
s000033,quiet_luxury,US,en,quiet luxury,Quiet luxury is really just having a good tailor and a cashmere addiction. The Row lookbook lives in my head rent free.,positive,403,64,1730494800.0
s000034,quiet_luxury,US,en,quiet luxury,Old money aesthetic feels performative on TikTok now. It's just Ralph Lauren cosplay for people with debt.,negative,148,93,1743829200.0
s000035,quiet_luxury,US,en,quiet luxury,"Stealth wealth basics: navy crewneck, gray flannels, unbranded loafers. Nothing screams, everything whispers.",positive,69,14,1737288000.0
s000036,quiet_luxury,US,en,quiet luxury,Honestly quiet luxury is a marketing term. Rich people always dressed like this.,neutral,498,102,1715706000.0
s000037,quiet_luxury,US,en,quiet luxury,Understated luxury > logo mania. My closet finally feels like mine.,positive,298,7,1749762000.0
s000038,quiet_luxury,US,en,quiet luxury,The stealth wealth thing is exhausting. It's just beige.,negative,457,26,1734865200.0
s000039,quiet_luxury,US,en,quiet luxury,Best quiet luxury piece I own: an unlined cashmere blazer. Wears like a sweatshirt.,positive,68,12,1725458400.0
s000040,quiet_luxury,US,en,quiet luxury,Old money aesthetic on Pinterest is 90% white girls at horse farms. Where is the range.,negative,34,42,1709200800.0
s000041,quiet_luxury,US,en,quiet luxury,Quiet luxury is really just having a good tailor and a cashmere addiction. The Row lookbook lives in my head rent free.,positive,9,36,1738562400.0
s000042,quiet_luxury,US,en,quiet luxury,Old money aesthetic feels performative on TikTok now. It's just Ralph Lauren cosplay for people with debt.,negative,317,105,1763989200.0
s000043,quiet_luxury,US,en,quiet luxury,"Stealth wealth basics: navy crewneck, gray flannels, unbranded loafers. Nothing screams, everything whispers.",positive,210,106,1732010400.0
s000044,quiet_luxury,US,en,quiet luxury,Honestly quiet luxury is a marketing term. Rich people always dressed like this.,neutral,376,60,1763956800.0
s000045,quiet_luxury,US,en,quiet luxury,Understated luxury > logo mania. My closet finally feels like mine.,positive,142,41,1765036800.0
s000046,quiet_luxury,US,en,quiet luxury,The stealth wealth thing is exhausting. It's just beige.,negative,118,67,1728180000.0
s000047,quiet_luxury,US,en,quiet luxury,Best quiet luxury piece I own: an unlined cashmere blazer. Wears like a sweatshirt.,positive,454,36,1759482000.0
s000048,quiet_luxury,US,en,quiet luxury,Old money aesthetic on Pinterest is 90% white girls at horse farms. Where is the range.,negative,371,25,1765292400.0
s000049,quiet_luxury,US,en,old money aesthetic,Quiet luxury is really just having a good tailor and a cashmere addiction. The Row lookbook lives in my head rent free.,positive,327,3,1742662800.0
s000050,quiet_luxury,US,en,old money aesthetic,Old money aesthetic feels performative on TikTok now. It's just Ralph Lauren cosplay for people with debt.,negative,121,35,1757232000.0
s000051,quiet_luxury,US,en,old money aesthetic,"Stealth wealth basics: navy crewneck, gray flannels, unbranded loafers. Nothing screams, everything whispers.",positive,78,41,1715072400.0
s000052,quiet_luxury,US,en,old money aesthetic,Honestly quiet luxury is a marketing term. Rich people always dressed like this.,neutral,142,7,1704247200.0
s000053,quiet_luxury,US,en,old money aesthetic,Understated luxury > logo mania. My closet finally feels like mine.,positive,396,70,1719676800.0
s000054,quiet_luxury,US,en,old money aesthetic,The stealth wealth thing is exhausting. It's just beige.,negative,219,103,1743634800.0
s000055,quiet_luxury,US,en,old money aesthetic,Best quiet luxury piece I own: an unlined cashmere blazer. Wears like a sweatshirt.,positive,497,70,1763128800.0
s000056,quiet_luxury,US,en,old money aesthetic,Old money aesthetic on Pinterest is 90% white girls at horse farms. Where is the range.,negative,407,80,1720036800.0
s000057,quiet_luxury,US,en,old money aesthetic,Quiet luxury is really just having a good tailor and a cashmere addiction. The Row lookbook lives in my head rent free.,positive,394,56,1720753200.0
s000058,quiet_luxury,US,en,old money aesthetic,Old money aesthetic feels performative on TikTok now. It's just Ralph Lauren cosplay for people with debt.,negative,281,38,1714712400.0
s000059,quiet_luxury,US,en,old money aesthetic,"Stealth wealth basics: navy crewneck, gray flannels, unbranded loafers. Nothing screams, everything whispers.",positive,326,38,1730602800.0
s000060,quiet_luxury,US,en,old money aesthetic,Honestly quiet luxury is a marketing term. Rich people always dressed like this.,neutral,256,112,1752638400.0
s000061,quiet_luxury,US,en,old money aesthetic,Understated luxury > logo mania. My closet finally feels like mine.,positive,18,112,1712750400.0
s000062,quiet_luxury,US,en,old money aesthetic,The stealth wealth thing is exhausting. It's just beige.,negative,52,35,1750132800.0
s000063,quiet_luxury,US,en,old money aesthetic,Best quiet luxury piece I own: an unlined cashmere blazer. Wears like a sweatshirt.,positive,123,68,1707181200.0
s000064,quiet_luxury,US,en,old money aesthetic,Old money aesthetic on Pinterest is 90% white girls at horse farms. Where is the range.,negative,228,31,1765242000.0
s000065,quiet_luxury,US,en,old money aesthetic,Quiet luxury is really just having a good tailor and a cashmere addiction. The Row lookbook lives in my head rent free.,positive,156,5,1753196400.0
s000066,quiet_luxury,US,en,old money aesthetic,Old money aesthetic feels performative on TikTok now. It's just Ralph Lauren cosplay for people with debt.,negative,56,76,1757034000.0
s000067,quiet_luxury,US,en,old money aesthetic,"Stealth wealth basics: navy crewneck, gray flannels, unbranded loafers. Nothing screams, everything whispers.",positive,31,107,1752404400.0
s000068,quiet_luxury,US,en,old money aesthetic,Honestly quiet luxury is a marketing term. Rich people always dressed like this.,neutral,104,117,1732046400.0
s000069,quiet_luxury,US,en,old money aesthetic,Understated luxury > logo mania. My closet finally feels like mine.,positive,197,27,1734598800.0
s000070,quiet_luxury,US,en,old money aesthetic,The stealth wealth thing is exhausting. It's just beige.,negative,1,34,1713528000.0
s000071,quiet_luxury,US,en,old money aesthetic,Best quiet luxury piece I own: an unlined cashmere blazer. Wears like a sweatshirt.,positive,431,19,1729825200.0
s000072,quiet_luxury,US,en,old money aesthetic,Old money aesthetic on Pinterest is 90% white girls at horse farms. Where is the range.,negative,254,32,1710892800.0
s000073,quiet_luxury,US,en,old money aesthetic,Quiet luxury is really just having a good tailor and a cashmere addiction. The Row lookbook lives in my head rent free.,positive,167,49,1705932000.0
s000074,quiet_luxury,US,en,old money aesthetic,Old money aesthetic feels performative on TikTok now. It's just Ralph Lauren cosplay for people with debt.,negative,390,56,1738324800.0
s000075,quiet_luxury,US,en,old money aesthetic,"Stealth wealth basics: navy crewneck, gray flannels, unbranded loafers. Nothing screams, everything whispers.",positive,130,27,1737075600.0
s000076,quiet_luxury,US,en,old money aesthetic,Honestly quiet luxury is a marketing term. Rich people always dressed like this.,neutral,121,109,1741251600.0
s000077,quiet_luxury,US,en,old money aesthetic,Understated luxury > logo mania. My closet finally feels like mine.,positive,341,40,1757772000.0
s000078,quiet_luxury,US,en,old money aesthetic,The stealth wealth thing is exhausting. It's just beige.,negative,166,29,1750312800.0
s000079,quiet_luxury,US,en,old money aesthetic,Best quiet luxury piece I own: an unlined cashmere blazer. Wears like a sweatshirt.,positive,25,59,1734145200.0
s000080,quiet_luxury,US,en,old money aesthetic,Old money aesthetic on Pinterest is 90% white girls at horse farms. Where is the range.,negative,356,22,1757854800.0
s000081,quiet_luxury,US,en,old money aesthetic,Quiet luxury is really just having a good tailor and a cashmere addiction. The Row lookbook lives in my head rent free.,positive,24,38,1741579200.0
s000082,quiet_luxury,US,en,old money aesthetic,Old money aesthetic feels performative on TikTok now. It's just Ralph Lauren cosplay for people with debt.,negative,459,10,1705291200.0
s000083,quiet_luxury,US,en,old money aesthetic,"Stealth wealth basics: navy crewneck, gray flannels, unbranded loafers. Nothing screams, everything whispers.",positive,94,97,1762041600.0
s000084,quiet_luxury,US,en,old money aesthetic,Honestly quiet luxury is a marketing term. Rich people always dressed like this.,neutral,56,84,1713571200.0
s000085,quiet_luxury,US,en,old money aesthetic,Understated luxury > logo mania. My closet finally feels like mine.,positive,121,10,1733680800.0
s000086,quiet_luxury,US,en,old money aesthetic,The stealth wealth thing is exhausting. It's just beige.,negative,295,82,1718470800.0
s000087,quiet_luxury,US,en,old money aesthetic,Best quiet luxury piece I own: an unlined cashmere blazer. Wears like a sweatshirt.,positive,3,33,1734829200.0
s000088,quiet_luxury,US,en,old money aesthetic,Old money aesthetic on Pinterest is 90% white girls at horse farms. Where is the range.,negative,309,54,1737248400.0
s000089,quiet_luxury,US,en,old money aesthetic,Quiet luxury is really just having a good tailor and a cashmere addiction. The Row lookbook lives in my head rent free.,positive,386,119,1759809600.0
s000090,quiet_luxury,US,en,old money aesthetic,Old money aesthetic feels performative on TikTok now. It's just Ralph Lauren cosplay for people with debt.,negative,127,29,1722214800.0
s000091,quiet_luxury,US,en,old money aesthetic,"Stealth wealth basics: navy crewneck, gray flannels, unbranded loafers. Nothing screams, everything whispers.",positive,227,116,1738724400.0
s000092,quiet_luxury,US,en,old money aesthetic,Honestly quiet luxury is a marketing term. Rich people always dressed like this.,neutral,492,9,1760637600.0
s000093,quiet_luxury,US,en,old money aesthetic,Understated luxury > logo mania. My closet finally feels like mine.,positive,406,17,1749722400.0
s000094,quiet_luxury,US,en,old money aesthetic,The stealth wealth thing is exhausting. It's just beige.,negative,399,13,1738141200.0
s000095,quiet_luxury,US,en,old money aesthetic,Best quiet luxury piece I own: an unlined cashmere blazer. Wears like a sweatshirt.,positive,108,61,1722535200.0
s000096,quiet_luxury,US,en,old money aesthetic,Old money aesthetic on Pinterest is 90% white girls at horse farms. Where is the range.,negative,159,98,1743595200.0
s000097,quiet_luxury,US,en,stealth wealth,Quiet luxury is really just having a good tailor and a cashmere addiction. The Row lookbook lives in my head rent free.,positive,15,88,1757642400.0
s000098,quiet_luxury,US,en,stealth wealth,Old money aesthetic feels performative on TikTok now. It's just Ralph Lauren cosplay for people with debt.,negative,10,84,1727949600.0
s000099,quiet_luxury,US,en,stealth wealth,"Stealth wealth basics: navy crewneck, gray flannels, unbranded loafers. Nothing screams, everything whispers.",positive,362,101,1745035200.0
s000100,quiet_luxury,US,en,stealth wealth,Honestly quiet luxury is a marketing term. Rich people always dressed like this.,neutral,369,99,1722891600.0
s000101,quiet_luxury,US,en,stealth wealth,Understated luxury > logo mania. My closet finally feels like mine.,positive,445,17,1711789200.0
s000102,quiet_luxury,US,en,stealth wealth,The stealth wealth thing is exhausting. It's just beige.,negative,63,93,1718816400.0
s000103,quiet_luxury,US,en,stealth wealth,Best quiet luxury piece I own: an unlined cashmere blazer. Wears like a sweatshirt.,positive,346,7,1745726400.0
s000104,quiet_luxury,US,en,stealth wealth,Old money aesthetic on Pinterest is 90% white girls at horse farms. Where is the range.,negative,254,14,1753419600.0
s000105,quiet_luxury,US,en,stealth wealth,Quiet luxury is really just having a good tailor and a cashmere addiction. The Row lookbook lives in my head rent free.,positive,2,110,1720587600.0
s000106,quiet_luxury,US,en,stealth wealth,Old money aesthetic feels performative on TikTok now. It's just Ralph Lauren cosplay for people with debt.,negative,496,69,1738454400.0
s000107,quiet_luxury,US,en,stealth wealth,"Stealth wealth basics: navy crewneck, gray flannels, unbranded loafers. Nothing screams, everything whispers.",positive,64,68,1728234000.0
s000108,quiet_luxury,US,en,stealth wealth,Honestly quiet luxury is a marketing term. Rich people always dressed like this.,neutral,440,49,1709776800.0
s000109,quiet_luxury,US,en,stealth wealth,Understated luxury > logo mania. My closet finally feels like mine.,positive,311,21,1714406400.0
s000110,quiet_luxury,US,en,stealth wealth,The stealth wealth thing is exhausting. It's just beige.,negative,26,53,1748937600.0
s000111,quiet_luxury,US,en,stealth wealth,Best quiet luxury piece I own: an unlined cashmere blazer. Wears like a sweatshirt.,positive,148,41,1712336400.0
s000112,quiet_luxury,US,en,stealth wealth,Old money aesthetic on Pinterest is 90% white girls at horse farms. Where is the range.,negative,418,22,1764874800.0
s000113,quiet_luxury,US,en,stealth wealth,Quiet luxury is really just having a good tailor and a cashmere addiction. The Row lookbook lives in my head rent free.,positive,298,18,1707264000.0
s000114,quiet_luxury,US,en,stealth wealth,Old money aesthetic feels performative on TikTok now. It's just Ralph Lauren cosplay for people with debt.,negative,437,100,1756792800.0
s000115,quiet_luxury,US,en,stealth wealth,"Stealth wealth basics: navy crewneck, gray flannels, unbranded loafers. Nothing screams, everything whispers.",positive,305,22,1742626800.0
s000116,quiet_luxury,US,en,stealth wealth,Honestly quiet luxury is a marketing term. Rich people always dressed like this.,neutral,198,90,1736784000.0
s000117,quiet_luxury,US,en,stealth wealth,Understated luxury > logo mania. My closet finally feels like mine.,positive,363,91,1737230400.0
s000118,quiet_luxury,US,en,stealth wealth,The stealth wealth thing is exhausting. It's just beige.,negative,379,86,1720717200.0
s000119,quiet_luxury,US,en,stealth wealth,Best quiet luxury piece I own: an unlined cashmere blazer. Wears like a sweatshirt.,positive,210,110,1713416400.0
s000120,quiet_luxury,US,en,stealth wealth,Old money aesthetic on Pinterest is 90% white girls at horse farms. Where is the range.,negative,7,4,1762700400.0
s000121,quiet_luxury,US,en,stealth wealth,Quiet luxury is really just having a good tailor and a cashmere addiction. The Row lookbook lives in my head rent free.,positive,260,51,1726441200.0
s000122,quiet_luxury,US,en,stealth wealth,Old money aesthetic feels performative on TikTok now. It's just Ralph Lauren cosplay for people with debt.,negative,47,92,1762516800.0
s000123,quiet_luxury,US,en,stealth wealth,"Stealth wealth basics: navy crewneck, gray flannels, unbranded loafers. Nothing screams, everything whispers.",positive,198,19,1745028000.0
s000124,quiet_luxury,US,en,stealth wealth,Honestly quiet luxury is a marketing term. Rich people always dressed like this.,neutral,75,43,1733256000.0
s000125,quiet_luxury,US,en,stealth wealth,Understated luxury > logo mania. My closet finally feels like mine.,positive,90,81,1720670400.0
s000126,quiet_luxury,US,en,stealth wealth,The stealth wealth thing is exhausting. It's just beige.,negative,429,118,1761282000.0
s000127,quiet_luxury,US,en,stealth wealth,Best quiet luxury piece I own: an unlined cashmere blazer. Wears like a sweatshirt.,positive,106,41,1719284400.0
s000128,quiet_luxury,US,en,stealth wealth,Old money aesthetic on Pinterest is 90% white girls at horse farms. Where is the range.,negative,367,77,1758808800.0
s000129,quiet_luxury,US,en,stealth wealth,Quiet luxury is really just having a good tailor and a cashmere addiction. The Row lookbook lives in my head rent free.,positive,190,49,1744336800.0
s000130,quiet_luxury,US,en,stealth wealth,Old money aesthetic feels performative on TikTok now. It's just Ralph Lauren cosplay for people with debt.,negative,371,78,1709564400.0
s000131,quiet_luxury,US,en,stealth wealth,"Stealth wealth basics: navy crewneck, gray flannels, unbranded loafers. Nothing screams, everything whispers.",positive,391,113,1737320400.0
s000132,quiet_luxury,US,en,stealth wealth,Honestly quiet luxury is a marketing term. Rich people always dressed like this.,neutral,53,93,1731690000.0
s000133,quiet_luxury,US,en,stealth wealth,Understated luxury > logo mania. My closet finally feels like mine.,positive,432,103,1747623600.0
s000134,quiet_luxury,US,en,stealth wealth,The stealth wealth thing is exhausting. It's just beige.,negative,50,0,1735426800.0
s000135,quiet_luxury,US,en,stealth wealth,Best quiet luxury piece I own: an unlined cashmere blazer. Wears like a sweatshirt.,positive,372,54,1730872800.0
s000136,quiet_luxury,US,en,stealth wealth,Old money aesthetic on Pinterest is 90% white girls at horse farms. Where is the range.,negative,489,118,1717113600.0
s000137,quiet_luxury,US,en,stealth wealth,Quiet luxury is really just having a good tailor and a cashmere addiction. The Row lookbook lives in my head rent free.,positive,359,111,1754132400.0
s000138,quiet_luxury,US,en,stealth wealth,Old money aesthetic feels performative on TikTok now. It's just Ralph Lauren cosplay for people with debt.,negative,197,75,1743213600.0
s000139,quiet_luxury,US,en,stealth wealth,"Stealth wealth basics: navy crewneck, gray flannels, unbranded loafers. Nothing screams, everything whispers.",positive,304,68,1725699600.0
s000140,quiet_luxury,US,en,stealth wealth,Honestly quiet luxury is a marketing term. Rich people always dressed like this.,neutral,205,1,1727974800.0
s000141,quiet_luxury,US,en,stealth wealth,Understated luxury > logo mania. My closet finally feels like mine.,positive,467,60,1739901600.0
s000142,quiet_luxury,US,en,stealth wealth,The stealth wealth thing is exhausting. It's just beige.,negative,99,40,1708264800.0
s000143,quiet_luxury,US,en,stealth wealth,Best quiet luxury piece I own: an unlined cashmere blazer. Wears like a sweatshirt.,positive,197,92,1726657200.0
s000144,quiet_luxury,US,en,stealth wealth,Old money aesthetic on Pinterest is 90% white girls at horse farms. Where is the range.,negative,82,36,1724727600.0
s000145,quiet_luxury,US,en,understated luxury,Quiet luxury is really just having a good tailor and a cashmere addiction. The Row lookbook lives in my head rent free.,positive,170,2,1706990400.0
s000146,quiet_luxury,US,en,understated luxury,Old money aesthetic feels performative on TikTok now. It's just Ralph Lauren cosplay for people with debt.,negative,122,23,1749355200.0
s000147,quiet_luxury,US,en,understated luxury,"Stealth wealth basics: navy crewneck, gray flannels, unbranded loafers. Nothing screams, everything whispers.",positive,376,70,1733450400.0
s000148,quiet_luxury,US,en,understated luxury,Honestly quiet luxury is a marketing term. Rich people always dressed like this.,neutral,139,57,1725501600.0
s000149,quiet_luxury,US,en,understated luxury,Understated luxury > logo mania. My closet finally feels like mine.,positive,93,57,1764741600.0
s000150,quiet_luxury,US,en,understated luxury,The stealth wealth thing is exhausting. It's just beige.,negative,234,54,1707663600.0
s000151,quiet_luxury,US,en,understated luxury,Best quiet luxury piece I own: an unlined cashmere blazer. Wears like a sweatshirt.,positive,23,1,1712041200.0
s000152,quiet_luxury,US,en,understated luxury,Old money aesthetic on Pinterest is 90% white girls at horse farms. Where is the range.,negative,479,29,1709647200.0
s000153,quiet_luxury,US,en,understated luxury,Quiet luxury is really just having a good tailor and a cashmere addiction. The Row lookbook lives in my head rent free.,positive,248,106,1745953200.0
s000154,quiet_luxury,US,en,understated luxury,Old money aesthetic feels performative on TikTok now. It's just Ralph Lauren cosplay for people with debt.,negative,126,16,1718593200.0
s000155,quiet_luxury,US,en,understated luxury,"Stealth wealth basics: navy crewneck, gray flannels, unbranded loafers. Nothing screams, everything whispers.",positive,382,36,1723536000.0
s000156,quiet_luxury,US,en,understated luxury,Honestly quiet luxury is a marketing term. Rich people always dressed like this.,neutral,450,12,1752199200.0
s000157,quiet_luxury,US,en,understated luxury,Understated luxury > logo mania. My closet finally feels like mine.,positive,491,42,1742360400.0
s000158,quiet_luxury,US,en,understated luxury,The stealth wealth thing is exhausting. It's just beige.,negative,36,49,1740715200.0
s000159,quiet_luxury,US,en,understated luxury,Best quiet luxury piece I own: an unlined cashmere blazer. Wears like a sweatshirt.,positive,152,26,1762574400.0
s000160,quiet_luxury,US,en,understated luxury,Old money aesthetic on Pinterest is 90% white girls at horse farms. Where is the range.,negative,49,97,1730563200.0
s000161,quiet_luxury,US,en,understated luxury,Quiet luxury is really just having a good tailor and a cashmere addiction. The Row lookbook lives in my head rent free.,positive,308,48,1750294800.0
s000162,quiet_luxury,US,en,understated luxury,Old money aesthetic feels performative on TikTok now. It's just Ralph Lauren cosplay for people with debt.,negative,83,9,1736524800.0
s000163,quiet_luxury,US,en,understated luxury,"Stealth wealth basics: navy crewneck, gray flannels, unbranded loafers. Nothing screams, everything whispers.",positive,80,12,1732345200.0
s000164,quiet_luxury,US,en,understated luxury,Honestly quiet luxury is a marketing term. Rich people always dressed like this.,neutral,292,62,1727398800.0
s000165,quiet_luxury,US,en,understated luxury,Understated luxury > logo mania. My closet finally feels like mine.,positive,148,101,1750111200.0
s000166,quiet_luxury,US,en,understated luxury,The stealth wealth thing is exhausting. It's just beige.,negative,203,13,1756033200.0
s000167,quiet_luxury,US,en,understated luxury,Best quiet luxury piece I own: an unlined cashmere blazer. Wears like a sweatshirt.,positive,386,5,1705960800.0
s000168,quiet_luxury,US,en,understated luxury,Old money aesthetic on Pinterest is 90% white girls at horse farms. Where is the range.,negative,470,49,1741586400.0
s000169,quiet_luxury,US,en,understated luxury,Quiet luxury is really just having a good tailor and a cashmere addiction. The Row lookbook lives in my head rent free.,positive,448,87,1718506800.0
s000170,quiet_luxury,US,en,understated luxury,Old money aesthetic feels performative on TikTok now. It's just Ralph Lauren cosplay for people with debt.,negative,133,21,1728010800.0
s000171,quiet_luxury,US,en,understated luxury,"Stealth wealth basics: navy crewneck, gray flannels, unbranded loafers. Nothing screams, everything whispers.",positive,90,78,1742518800.0
s000172,quiet_luxury,US,en,understated luxury,Honestly quiet luxury is a marketing term. Rich people always dressed like this.,neutral,225,22,1707912000.0
s000173,quiet_luxury,US,en,understated luxury,Understated luxury > logo mania. My closet finally feels like mine.,positive,355,16,1758697200.0
s000174,quiet_luxury,US,en,understated luxury,The stealth wealth thing is exhausting. It's just beige.,negative,437,89,1739840400.0
s000175,quiet_luxury,US,en,understated luxury,Best quiet luxury piece I own: an unlined cashmere blazer. Wears like a sweatshirt.,positive,265,86,1737367200.0
s000176,quiet_luxury,US,en,understated luxury,Old money aesthetic on Pinterest is 90% white girls at horse farms. Where is the range.,negative,123,35,1724742000.0
s000177,quiet_luxury,US,en,understated luxury,Quiet luxury is really just having a good tailor and a cashmere addiction. The Row lookbook lives in my head rent free.,positive,470,8,1706328000.0
s000178,quiet_luxury,US,en,understated luxury,Old money aesthetic feels performative on TikTok now. It's just Ralph Lauren cosplay for people with debt.,negative,388,39,1704333600.0
s000179,quiet_luxury,US,en,understated luxury,"Stealth wealth basics: navy crewneck, gray flannels, unbranded loafers. Nothing screams, everything whispers.",positive,245,54,1721660400.0
s000180,quiet_luxury,US,en,understated luxury,Honestly quiet luxury is a marketing term. Rich people always dressed like this.,neutral,268,99,1728572400.0
s000181,quiet_luxury,US,en,understated luxury,Understated luxury > logo mania. My closet finally feels like mine.,positive,66,43,1726578000.0
s000182,quiet_luxury,US,en,understated luxury,The stealth wealth thing is exhausting. It's just beige.,negative,476,10,1715396400.0
s000183,quiet_luxury,US,en,understated luxury,Best quiet luxury piece I own: an unlined cashmere blazer. Wears like a sweatshirt.,positive,476,17,1755957600.0
s000184,quiet_luxury,US,en,understated luxury,Old money aesthetic on Pinterest is 90% white girls at horse farms. Where is the range.,negative,277,115,1727236800.0
s000185,quiet_luxury,US,en,understated luxury,Quiet luxury is really just having a good tailor and a cashmere addiction. The Row lookbook lives in my head rent free.,positive,127,104,1714284000.0
s000186,quiet_luxury,US,en,understated luxury,Old money aesthetic feels performative on TikTok now. It's just Ralph Lauren cosplay for people with debt.,negative,60,18,1727654400.0
s000187,quiet_luxury,US,en,understated luxury,"Stealth wealth basics: navy crewneck, gray flannels, unbranded loafers. Nothing screams, everything whispers.",positive,161,109,1704250800.0
s000188,quiet_luxury,US,en,understated luxury,Honestly quiet luxury is a marketing term. Rich people always dressed like this.,neutral,233,116,1708538400.0
s000189,quiet_luxury,US,en,understated luxury,Understated luxury > logo mania. My closet finally feels like mine.,positive,266,79,1736942400.0
s000190,quiet_luxury,US,en,understated luxury,The stealth wealth thing is exhausting. It's just beige.,negative,494,17,1756270800.0
s000191,quiet_luxury,US,en,understated luxury,Best quiet luxury piece I own: an unlined cashmere blazer. Wears like a sweatshirt.,positive,371,44,1754956800.0
s000192,quiet_luxury,US,en,understated luxury,Old money aesthetic on Pinterest is 90% white girls at horse farms. Where is the range.,negative,77,99,1756303200.0
s000193,quiet_luxury,FR,fr,luxe discret,"Le luxe discret, c'est la vraie élégance. Pas de logo, juste une coupe impeccable.",positive,171,67,1746500400.0
